Number,FileName,Valence,Arousal,SocialEngagement,Time,Behavior,Gender,Age,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,zcr,rms,spectral_centroid
1,Aster_alarmrespondingtohuman_1524,-1.6,3.8,-2.7,1524,respondingtohuman,M,1.5,-390.4883423,-48.33747864,-0.834157169,60.62070847,-11.13788509,14.91068363,5.463544846,-0.232081652,16.6535759,10.87716866,-21.97673607,17.21368217,12.36326694,153.4235229,79.75658417,12.45878696,33.46442413,20.93105888,12.75762558,12.43642807,9.386996269,14.04523754,13.07380581,20.99031067,14.78266811,11.05610657,0.70103699,0.419645488,0.262611449,0.22607778,0.200572252,0.185233414,0.209743291,0.250517845,0.223256558,0.470626175,0.590349913,0.657865286,0.311490885,0.064246379,4358.639553
2,Aster_alertoncurtain_1906,0.4,1.9,-0.05,1906,alert,M,1.5,-433.1519165,-12.51689434,13.50341129,65.63772583,3.290529013,9.76224041,13.90783882,7.297155857,8.44534111,11.02447224,-11.31932449,15.44055462,3.05329299,141.0428162,95.20821381,25.73246765,45.24045181,19.00048065,15.6080761,11.89429283,10.99902821,9.430738449,5.569653988,11.00019932,13.08119297,7.3954072,0.432802975,0.400785059,0.340953887,0.244300351,0.229372814,0.281969845,0.347086221,0.425936162,0.432685614,0.381826669,0.646774054,0.564645648,0.230179092,0.048830383,3505.41698
3,Aster_aloneresponding_1458,0.15,0.9,0,1458,responding,M,1.5,-337.1105042,-71.94567108,7.844434738,107.2810745,-14.98180771,3.913788557,4.560456753,12.81115055,13.10251236,-2.723511696,-13.31907082,11.77563763,-2.37534523,118.812088,87.71655273,16.8217926,32.99275589,18.21839523,14.03943539,13.09331036,13.21807194,9.399003983,12.28391647,7.202557087,14.23304653,12.24795723,0.846596956,0.497554898,0.191282973,0.121836424,0.192601725,0.145382598,0.105790973,0.186185896,0.42777282,0.271387637,0.222277448,0.61555779,0.329689719,0.086895339,4209.269147
4,Aster_alonetalking_1335,0.75,1,0.65,1335,selftalk,M,1.5,-417.4927063,-29.69498825,-2.207951307,87.37634277,7.547132969,2.650160789,7.052509785,4.117390156,14.3637743,9.691497803,-6.385142803,16.15467072,-1.260317445,148.3551788,104.4911575,29.5631237,49.48599243,13.30981064,13.47725296,20.44066238,22.00740051,11.96737766,22.38158798,20.34844208,12.37850094,8.08407402,0.508856177,0.501692355,0.339469731,0.355399579,0.409932464,0.283983797,0.336734444,0.37384662,0.252005011,0.42792353,0.477983326,0.482706249,0.259977214,0.055223465,3482.508807
5,Aster_angryathomeoccupied_1904,-1.05,4,-1.55,1904,angry,M,1.5,-410.8022461,9.567280769,15.79050636,46.00776291,12.64129257,24.04883575,-0.446887672,8.188587189,15.44601154,-0.245811939,7.136913776,14.69141483,3.945606947,165.3671875,86.50738525,18.53326607,30.60891151,14.34507656,7.612462044,20.37211418,14.84040642,12.36719608,11.13715076,10.37660313,9.879407883,12.12501907,0.472652107,0.55973208,0.704656899,0.464992583,0.47431609,0.536214709,0.519460201,0.490377605,0.431585491,0.375487834,0.306627542,0.314256877,0.231971154,0.032142367,3584.103029
6,Aster_announcearrival_1342,2,3,1.6,1342,arrival,M,1.5,-337.9118042,-46.3712883,6.090477943,62.66616058,15.15843201,26.58634567,-15.95861816,10.52413082,29.93032837,-7.798400879,-2.579328537,12.47467232,-7.413342476,157.2872925,103.5700531,18.30078888,24.39302063,14.94630909,9.96592617,16.56007385,10.20184994,11.37787056,16.52343369,10.06878471,9.81840992,16.54984283,0.363228619,0.447370142,0.545662224,0.63485074,0.62918514,0.353822976,0.317157686,0.368813366,0.284639239,0.259502232,0.258137584,0.279877216,0.332452393,0.064672455,4250.368875
7,Aster_attempttoenteranoccupiedhome_1354,2.55,3.8,2.35,1605,riskenter,M,1.5,-391.0169983,-29.3114357,-0.117978305,63.92791367,6.514818192,10.54796791,2.930663109,1.045100212,16.12867737,10.35717678,-14.54782867,-2.67536211,14.37793922,114.6053543,98.12756348,18.10976791,35.29130173,23.19374466,10.0131073,18.97620201,8.486205101,15.88260746,14.35813141,16.46134186,18.89126778,9.174119949,0.301737517,0.229454905,0.234096855,0.252088636,0.235952497,0.19564268,0.192747116,0.322124183,0.362484306,0.550789893,0.770455062,0.518835962,0.260243291,0.049100403,3746.918157
8,Aster_awareofhumanplaytoy_1518,0.5,2,-0.1,1518,awarehuman,M,1.5,-416.0663757,39.91591263,-14.73829174,29.97806358,-14.28053951,-2.172778368,9.929339409,9.333012581,18.73297882,-4.296658993,-6.028133392,14.70336151,-5.140695095,148.2820435,92.98478699,14.79460907,33.91586685,13.99270821,12.5946064,8.926116943,8.376842499,14.01174736,13.21482944,9.179363251,16.78629684,9.447699547,0.656222343,0.672406197,0.617193282,0.63049382,0.411167622,0.336120218,0.325683266,0.322314918,0.353995562,0.407386392,0.365671188,0.439338982,0.263883771,0.033086754,3376.153983
9,Aster_call_1356,1.05,2.8,0.65,1356,call,M,1.5,-354.5134888,93.49728394,13.7081871,37.44087982,-17.88790321,14.76276302,-4.908203125,-19.03661346,7.888343334,-16.07266045,0.274375647,9.711112022,-0.29877004,142.4372559,82.47943115,13.96099854,20.81925964,18.06258202,10.70479012,12.82641411,11.11893654,15.10373306,11.88905144,10.09746647,8.726742744,4.31609869,0.671128511,0.746482253,0.72342068,0.683185041,0.466349036,0.349273711,0.274405837,0.208780199,0.146955147,0.14633815,0.251865029,0.414650649,0.184070934,0.033140671,2635.66715
10,Aster_callandfollowmate_1401,3.65,3.9,3.7,1401,callfollow,M,1.5,-301.2442017,19.71299553,4.751101494,56.04734039,6.42417717,9.660499573,5.485492706,6.214923382,20.97704887,5.341869354,-4.645316124,17.28747177,10.79362202,128.8341064,91.30088806,21.47641754,27.00447464,14.52533436,9.193864822,13.96230984,10.37308407,14.80999565,12.4477911,13.01265526,17.00494766,16.27967453,0.665498614,0.499484003,0.51450491,0.444714636,0.343134284,0.304491431,0.330474883,0.376112759,0.450826228,0.524758816,0.478193045,0.542021453,0.183902516,0.067244947,3106.234832
11,Aster_callforresponse_1356,2.4,2.9,2.35,1356,callresponse,M,1.5,-367.3367615,-14.96193981,5.938632011,81.10299683,0.878973901,3.661180019,1.539016843,5.09337759,0.524288535,6.651237965,4.074921131,4.813266277,9.382486343,120.2102509,97.11517334,20.75298119,32.43213654,25.501091,8.515494347,17.28391457,8.757218361,13.27449226,15.65034771,8.669799805,17.22371483,12.44266987,0.228782475,0.328870118,0.352896184,0.401481628,0.250899941,0.235289872,0.342578977,0.523681343,0.285096198,0.379034042,0.335952461,0.343230098,0.251142578,0.055838518,3624.552573
12,Aster_callforresponse_1639,2.4,2.9,2.35,1639,callresponse,M,1.5,-413.2635803,47.10100555,17.31294441,50.66783905,-0.417864919,7.587500095,22.29732132,0.023884321,5.013475895,24.76685524,-16.33409691,9.311572075,19.32616234,115.0010757,94.40871429,29.06913185,40.053936,20.14836121,10.44834805,10.90882874,10.56078339,11.07877445,25.59214401,18.29716682,14.91819859,22.58428955,0.407229573,0.270577163,0.311806202,0.329492897,0.34312433,0.350397348,0.374694765,0.406901449,0.447735935,0.479547054,0.637002409,0.685018003,0.178428248,0.046352711,2541.218693
13,Aster_calling_1528,0.9,1.9,0.65,1528,calling,M,1.5,-400.4182129,19.38807297,4.334656715,51.27677155,-14.46455669,11.79884148,0.830735326,12.463521,19.14138031,-7.974143028,-1.869003654,13.62291145,-7.161727905,115.396553,97.18430328,14.46317291,37.96597672,22.08966446,9.74058342,9.256612778,14.39337063,12.12230206,16.27330208,15.23923397,13.77102184,12.03528595,0.580640554,0.590504885,0.369225264,0.383906066,0.466243923,0.304395676,0.310683817,0.309553057,0.296420306,0.23335965,0.254235506,0.561642647,0.248980978,0.03861329,3468.651905
14,Aster_callingfizzy_1336,3.5,3,3.7,1336,call,M,1.5,-380.848175,-27.07317543,-19.65079308,76.10729218,4.999895096,1.760981917,2.779824972,-2.904631376,6.863835812,14.13302898,-22.91337967,16.66106987,2.528497458,144.1246033,101.7029343,31.59431458,38.65987396,13.81329632,17.15207863,17.84056091,17.03898811,13.94684219,20.78574371,28.09918976,19.90202522,15.60270977,0.770931125,0.499047488,0.253335118,0.155428141,0.159282178,0.224769399,0.28895539,0.282865852,0.2869111,0.340605646,0.417704642,0.564291179,0.269767253,0.063068308,3574.821219
15,Aster_callingfizzy_1509,3.5,3,3.7,1509,callingmate,M,1.5,-302.8446655,-23.44459152,-4.519037724,66.75899506,-2.546009779,7.172155857,9.965328217,6.526854038,3.598383427,15.10241413,-9.272047997,6.411296368,4.956106186,98.92014313,90.81423187,19.63104248,32.80490875,13.80720711,12.34011364,7.023924351,10.89025307,12.24300671,13.19401169,12.60724449,11.50290585,9.394916534,0.450377285,0.302559644,0.223421201,0.154812887,0.133544788,0.203279823,0.395427048,0.558415413,0.495727658,0.288810492,0.530860186,0.669147968,0.262229226,0.067746252,3917.356602
